GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_1: Population, 2021",X,Y
59170033,DA,59170033,2.1547,992,477,446,992,-123.412013,48.680406
59170034,DA,59170034,1.8813,565,229,225,565,-123.427237,48.683293
59170035,DA,59170035,0.1521,526,319,300,526,-123.414981,48.667547
59170036,DA,59170036,0.1837,633,264,255,633,-123.414153,48.665496
59170037,DA,59170037,0.1411,477,195,187,477,-123.413278,48.662898
59170038,DA,59170038,0.2167,579,247,239,579,-123.406667,48.660555
59170039,DA,59170039,0.1602,555,242,231,555,-123.407243,48.6572
59170040,DA,59170040,0.1458,612,331,311,612,-123.402171,48.655812
59170041,DA,59170041,0.1044,672,140,136,672,-123.405629,48.654254
59170042,DA,59170042,0.2204,604,346,331,604,-123.405329,48.651411
59170043,DA,59170043,0.1154,657,419,397,657,-123.400585,48.651115
59170044,DA,59170044,0.1308,688,510,445,688,-123.396865,48.650501
59170045,DA,59170045,0.137,471,311,289,471,-123.398351,48.646705
59170046,DA,59170046,0.2884,534,313,285,534,-123.400177,48.642763
59170047,DA,59170047,0.4733,821,401,382,821,-123.40368,48.642133
59170048,DA,59170048,0.6408,298,123,123,298,-123.41053,48.650772
59170049,DA,59170049,0.2074,620,262,253,620,-123.413964,48.642195
59170051,DA,59170051,0.7642,847,349,327,847,-123.415251,48.632946
59170052,DA,59170052,1.6252,780,340,322,780,-123.414571,48.623898
59170053,DA,59170053,0.5586,576,208,204,576,-123.409379,48.614298
59170054,DA,59170054,0.4792,627,225,222,627,-123.423579,48.614778
59170055,DA,59170055,0.3249,419,183,179,419,-123.429961,48.614944
59170056,DA,59170056,2.0028,791,314,310,791,-123.43211,48.62356
59170063,DA,59170063,0.2873,499,297,287,499,-123.401797,48.589668
59170066,DA,59170066,2.3166,1291,711,656,1291,-123.388335,48.588432
59170070,DA,59170070,0.2559,577,223,214,577,-123.399622,48.56266
59170071,DA,59170071,0.3143,723,301,294,723,-123.397472,48.558075
