a,q,t,dw,hh,id,pop,name,rgid,rpid,ruid,rguid,Transit Time,Car Time,Bike Time
0.8517,0,DA,177,166,59150004,362,59150004,5915,5915055,9330133.01,59933,???,38.31666667,128.8833333
0.166,0,DA,221,205,59150005,526,59150005,5915,5915055,9330133.01,59933,105.45,37.65,120.8166667
0.1559,0,DA,199,192,59150006,452,59150006,5915,5915055,9330133.01,59933,109.9166667,37.76666667,119.65
0.7211,0,DA,225,211,59150007,545,59150007,5915,5915055,9330133.01,59933,123.55,38.35,123.1166667
0.66,0,DA,235,220,59150008,596,59150008,5915,5915055,9330133.01,59933,123.75,36.25,116.5
0.5699,0,DA,148,143,59150009,393,59150009,5915,5915055,9330133.01,59933,119.0333333,37.86666667,115.55
0.8053,0,DA,317,309,59150010,855,59150010,5915,5915055,9330133.01,59933,141.7166667,39.21666667,110.7333333
0.4489,0,DA,189,179,59150012,525,59150012,5915,5915055,9330133.02,59933,429.2166667,34.45,98.36666667
0.2729,0,DA,120,111,59150013,311,59150013,5915,5915055,9330133.02,59933,437.0666667,34.88333333,96.31666667
31.8832,0,DA,505,467,59150014,1172,59150014,5915,5915055,9330133.02,59933,???,45.86666667,122.7833333
0.4004,0,DA,182,177,59150015,536,59150015,5915,5915055,9330132,59933,149.45,34.65,91.41666667
0.3013,0,DA,149,141,59150016,429,59150016,5915,5915055,9330132,59933,137.5,33.31666667,84.98333333
0.3471,0,DA,122,116,59150017,311,59150017,5915,5915055,9330132,59933,129.9333333,36.5,86.13333333
0.4429,0,DA,232,218,59150018,552,59150018,5915,5915055,9330132,59933,128.4333333,36.56666667,85.43333333
0.5084,0,DA,216,210,59150019,591,59150019,5915,5915055,9330132,59933,148.65,35.58333333,90.5
0.3669,0,DA,145,138,59150020,408,59150020,5915,5915055,9330133.02,59933,429.7166667,35.53333333,97.01666667
0.1914,0,DA,100,95,59150021,269,59150021,5915,5915055,9330133.02,59933,418.6666667,37.61666667,93.96666667
0.1563,0,DA,87,85,59150022,284,59150022,5915,5915055,9330133.02,59933,418.8833333,35.05,95.48333333
0.4277,0,DA,182,174,59150023,518,59150023,5915,5915055,9330133.02,59933,418.0833333,36.36666667,96.05
0.2497,0,DA,138,136,59150024,331,59150024,5915,5915055,9330133.02,59933,409.7666667,36.75,96.06666667
1.3752,0,DA,248,234,59150025,635,59150025,5915,5915055,9330133.02,59933,410.2,37.21666667,97.98333333
0.1592,0,DA,391,346,59150027,514,59150027,5915,5915055,9330130.01,59933,81.5,33.5,74.9
0.157,0,DA,237,228,59150028,441,59150028,5915,5915055,9330130.01,59933,79.33333333,32.68333333,73.16666667
0.1788,0,DA,166,149,59150029,410,59150029,5915,5915055,9330131,59933,81.88333333,32.55,74.83333333
0.2295,0,DA,209,200,59150030,557,59150030,5915,5915055,9330134,59933,86.85,32.76666667,76.56666667
0.4923,0,DA,271,259,59150031,745,59150031,5915,5915055,9330134,59933,90.23333333,32.35,79.4
0.4126,0,DA,136,127,59150032,401,59150032,5915,5915055,9330132,59933,91.7,34.9,78.2
0.4934,0,DA,154,153,59150033,482,59150033,5915,5915055,9330132,59933,106.45,34.21666667,82.98333333
0.3942,0,DA,167,158,59150034,429,59150034,5915,5915055,9330132,59933,103.0333333,36.08333333,82.3
0.7956,0,DA,440,414,59150035,980,59150035,5915,5915055,9330134,59933,105.7666667,33.15,82.7
0.2106,0,DA,185,175,59150036,496,59150036,5915,5915055,9330134,59933,86.76666667,31.31666667,76.95
0.199,0,DA,172,165,59150037,462,59150037,5915,5915055,9330134,59933,88.5,30.76666667,73.38333333
0.1446,0,DA,142,136,59150038,405,59150038,5915,5915055,9330131,59933,82.03333333,32.03333333,73.11666667
0.1242,0,DA,129,127,59150039,387,59150039,5915,5915055,9330131,59933,83.96666667,30.83333333,71.55
0.1239,0,DA,282,270,59150040,382,59150040,5915,5915055,9330131,59933,80.71666667,32.15,71.48333333
0.2654,0,DA,160,155,59150041,472,59150041,5915,5915055,9330131,59933,85.76666667,34.2,71.2
0.1802,0,DA,146,140,59150042,378,59150042,5915,5915055,9330131,59933,80.41666667,32.28333333,69.75
0.0497,0,DA,364,331,59150043,522,59150043,5915,5915055,9330130.01,59933,76.48333333,31.55,68.73333333
0.0406,0,DA,334,318,59150044,565,59150044,5915,5915055,9330130.03,59933,76.6,31.36666667,68.78333333
0.0703,0,DA,412,389,59150045,622,59150045,5915,5915055,9330130.03,59933,74.4,30.21666667,68
0.0403,0,DA,299,274,59150046,476,59150046,5915,5915055,9330130.03,59933,75.26666667,29.21666667,67.28333333
0.0668,0,DA,282,266,59150047,414,59150047,5915,5915055,9330130.03,59933,76.91666667,29.98333333,67.88333333
0.1584,0,DA,164,160,59150048,457,59150048,5915,5915055,9330131,59933,79.46666667,31.05,68.41666667
0.184,0,DA,194,187,59150049,560,59150049,5915,5915055,9330131,59933,82.23333333,30.8,68.93333333
0.2081,0,DA,190,181,59150050,525,59150050,5915,5915055,9330131,59933,83.66666667,29.45,68.76666667
0.1818,0,DA,181,166,59150051,481,59150051,5915,5915055,9330131,59933,80.08333333,29.8,67.31666667
0.2032,0,DA,139,134,59150052,609,59150052,5915,5915055,9330131,59933,87.48333333,27.71666667,68.58333333
0.2837,0,DA,223,209,59150053,614,59150053,5915,5915055,9330131,59933,86.88333333,30.25,66.48333333
0.3116,0,DA,336,300,59150054,716,59150054,5915,5915055,9330130.03,59933,75.85,28.48333333,63.8
0.1404,0,DA,246,224,59150055,522,59150055,5915,5915055,9330130.03,59933,74.95,29.08333333,67.11666667
0.4326,0,DA,423,391,59150056,708,59150056,5915,5915055,9330130.03,59933,73.28333333,30.66666667,64.38333333
0.3712,0,DA,563,517,59150059,1151,59150059,5915,5915055,9330130.03,59933,69.65,28.91666667,60.7
0.0119,0,DA,198,192,59150062,378,59150062,5915,5915046,9330118,59933,72.81666667,28.03333333,61.98333333
0.241,0,DA,376,278,59150064,618,59150064,5915,5915046,9330118,59933,67.81666667,27.41666667,60.81666667
