,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_1: Population, 2021",X,Y,Transit Time,Car Time,Bike Time
0,59170033,DA,59170033,2.1547,992,477,446,992,-123.412013,48.680406,88.96666666666667,33.833333333333336,101.05
1,59170034,DA,59170034,1.8813,565,229,225,565,-123.427237,48.683293,88.75,34.8,101.71666666666667
2,59170035,DA,59170035,0.1521,526,319,300,526,-123.414981,48.667547,78.15,34.1,93.81666666666666
3,59170036,DA,59170036,0.1837,633,264,255,633,-123.414153,48.665496,75.41666666666667,32.88333333333333,92.35
4,59170037,DA,59170037,0.1411,477,195,187,477,-123.413278,48.662898,75.85,32.833333333333336,91.21666666666667
5,59170038,DA,59170038,0.2167,579,247,239,579,-123.406667,48.660555,75.68333333333334,32.233333333333334,87.21666666666667
6,59170039,DA,59170039,0.1602,555,242,231,555,-123.407243,48.6572,74.1,31.583333333333332,86.25
7,59170040,DA,59170040,0.1458,612,331,311,612,-123.402171,48.655812,71.56666666666666,31.333333333333332,86.08333333333333
8,59170041,DA,59170041,0.1044,672,140,136,672,-123.405629,48.654254,74.91666666666667,31.366666666666667,85.93333333333334
9,59170042,DA,59170042,0.2204,604,346,331,604,-123.405329,48.651411,72.63333333333334,29.75,83.95
10,59170043,DA,59170043,0.1154,657,419,397,657,-123.400585,48.651115,71.58333333333333,30.116666666666667,82.63333333333334
11,59170044,DA,59170044,0.1308,688,510,445,688,-123.396865,48.650501,74.15,30.983333333333334,83.16666666666667
12,59170045,DA,59170045,0.137,471,311,289,471,-123.398351,48.646705,73.45,30.416666666666668,81.28333333333333
13,59170046,DA,59170046,0.2884,534,313,285,534,-123.400177,48.642763,77.78333333333333,28.9,79.06666666666666
14,59170047,DA,59170047,0.4733,821,401,382,821,-123.40368,48.642133,77.2,29.483333333333334,79.73333333333333
15,59170048,DA,59170048,0.6408,298,123,123,298,-123.41053,48.650772,73.75,29.533333333333335,85.95
16,59170049,DA,59170049,0.2074,620,262,253,620,-123.413964,48.642195,66.4,29.266666666666666,79.63333333333334
17,59170051,DA,59170051,0.7642,847,349,327,847,-123.415251,48.632946,64.46666666666667,27.033333333333335,75.36666666666666
18,59170052,DA,59170052,1.6252,780,340,322,780,-123.414571,48.623898,70.7,28.516666666666666,77.2
19,59170053,DA,59170053,0.5586,576,208,204,576,-123.409379,48.614298,84.9,26.016666666666666,70.06666666666666
20,59170054,DA,59170054,0.4792,627,225,222,627,-123.423579,48.614778,91.4,28.55,74.48333333333333
21,59170055,DA,59170055,0.3249,419,183,179,419,-123.429961,48.614944,102.9,29.85,78.53333333333333
22,59170056,DA,59170056,2.0028,791,314,310,791,-123.43211,48.62356,102.71666666666667,29.916666666666668,77.85
23,59170063,DA,59170063,0.2873,499,297,287,499,-123.401797,48.589668,71.11666666666666,24.683333333333334,62.5
24,59170066,DA,59170066,2.3166,1291,711,656,1291,-123.388335,48.588432,69.13333333333334,25.916666666666668,63.35
25,59170070,DA,59170070,0.2559,577,223,214,577,-123.399622,48.56266,82.58333333333333,21.116666666666667,54.53333333333333
26,59170071,DA,59170071,0.3143,723,301,294,723,-123.397472,48.558075,78.4,20.466666666666665,51.35
27,59170072,DA,59170072,0.4229,830,307,288,830,-123.397472,48.552529,76.43333333333334,20.383333333333333,50.43333333333333
28,59170074,DA,59170074,1.4241,538,201,191,538,-123.385132,48.538821,51.38333333333333,17.65,41.71666666666667
29,59170075,DA,59170075,3.0369,563,264,252,563,-123.371573,48.538912,56.68333333333333,18.033333333333335,43.13333333333333
30,59170076,DA,59170076,0.9129,1483,650,624,1483,-123.377501,48.523664,68.16666666666667,17.933333333333334,39.55
31,59170077,DA,59170077,0.6082,779,299,288,779,-123.381907,48.522919,65.8,17.066666666666666,37.833333333333336
32,59170079,DA,59170079,0.4405,636,229,223,636,-123.377832,48.516475,56.55,15.916666666666666,34.983333333333334
33,59170081,DA,59170081,0.2718,526,236,219,526,-123.366407,48.517787,45.3,13.516666666666667,34.31666666666667
34,59170082,DA,59170082,0.3294,675,331,324,675,-123.369823,48.523219,48.21666666666667,14.85,37.18333333333333
35,59170084,DA,59170084,0.5198,672,273,259,672,-123.353686,48.506333,37.166666666666664,11.833333333333334,27.1
36,59170085,DA,59170085,0.2832,688,260,257,688,-123.358613,48.505147,37.416666666666664,12.366666666666667,29.283333333333335
37,59170094,DA,59170094,0.9114,746,397,389,746,-123.379129,48.492219,50.766666666666666,13.833333333333334,33.63333333333333
38,59170095,DA,59170095,0.3813,1312,709,679,1312,-123.390904,48.495617,42.81666666666667,15.916666666666666,37.766666666666666
