,Unnamed: 0,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_1: Population, 2021",X,Y,Transit Time,Car Time,Car Time Adjusted,Bike Time,Car/Bike Delta,Car/Bus Delta,Bike/Bus Delta
0,0,59170033,DA,59170033,2.1547,992,477,446,992,-123.412013,48.680406,1655820422,1655823322,1655823074,1655819308,62.76666667,44.2,18.56666667
1,1,59170034,DA,59170034,1.8813,565,229,225,565,-123.427237,48.683293,1655820435,1655823260,1655823000,1655819265,62.25,42.75,19.5
2,2,59170035,DA,59170035,0.1521,526,319,300,526,-123.414981,48.667547,1655821071,1655823288,1655823087,1655819739,55.8,33.6,22.2
3,3,59170036,DA,59170036,0.1837,633,264,255,633,-123.414153,48.665496,1655821235,1655823339,1655823147,1655819827,55.33333333,31.86666667,23.46666667
4,4,59170037,DA,59170037,0.1411,477,195,187,477,-123.413278,48.662898,1655821209,1655823339,1655823150,1655819895,54.25,32.35,21.9
5,5,59170038,DA,59170038,0.2167,579,247,239,579,-123.406667,48.660555,1655821219,1655823373,1655823218,1655820136,51.36666667,33.31666667,18.05
6,6,59170039,DA,59170039,0.1602,555,242,231,555,-123.407243,48.6572,1655821314,1655823426,1655823244,1655820194,50.83333333,32.16666667,18.66666667
7,7,59170040,DA,59170040,0.1458,612,331,311,612,-123.402171,48.655812,1655821466,1655823437,1655823261,1655820204,50.95,29.91666667,21.03333333
8,8,59170041,DA,59170041,0.1044,672,140,136,672,-123.405629,48.654254,1655821265,1655823420,1655823258,1655820213,50.75,33.21666667,17.53333333
9,9,59170042,DA,59170042,0.2204,604,346,331,604,-123.405329,48.651411,1655821402,1655823542,1655823365,1655820332,50.55,32.71666667,17.83333333
10,10,59170043,DA,59170043,0.1154,657,419,397,657,-123.400585,48.651115,1655821465,1655823510,1655823337,1655820411,48.76666667,31.2,17.56666667
11,11,59170044,DA,59170044,0.1308,688,510,445,688,-123.396865,48.650501,1655821311,1655823445,1655823274,1655820379,48.25,32.71666667,15.53333333
12,12,59170045,DA,59170045,0.137,471,311,289,471,-123.398351,48.646705,1655821522,1655823497,1655823317,1655820492,47.08333333,29.91666667,17.16666667
13,13,59170046,DA,59170046,0.2884,534,313,285,534,-123.400177,48.642763,1655821685,1655823604,1655823421,1655820625,46.6,28.93333333,17.66666667
14,14,59170047,DA,59170047,0.4733,821,401,382,821,-123.40368,48.642133,1655821573,1655823562,1655823376,1655820585,46.51666667,30.05,16.46666667
15,15,59170048,DA,59170048,0.6408,298,123,123,298,-123.41053,48.650772,1655820975,1655823562,1655823377,1655820212,52.75,40.03333333,12.71666667
16,16,59170049,DA,59170049,0.2074,620,262,253,620,-123.413964,48.642195,1655821416,1655823587,1655823396,1655820591,46.75,33,13.75
17,17,59170051,DA,59170051,0.7642,847,349,327,847,-123.415251,48.632946,1655821712,1655823726,1655823552,1655820847,45.08333333,30.66666667,14.41666667
18,18,59170052,DA,59170052,1.6252,780,340,322,780,-123.414571,48.623898,1655821853,1655823631,1655823398,1655820737,44.35,25.75,18.6
19,19,59170053,DA,59170053,0.5586,576,208,204,576,-123.409379,48.614298,1655821495,1655823778,1655823600,1655821165,40.58333333,35.08333333,5.5
20,20,59170054,DA,59170054,0.4792,627,225,222,627,-123.423579,48.614778,1655821776,1655823613,1655823453,1655820900,42.55,27.95,14.6
21,21,59170055,DA,59170055,0.3249,419,183,179,419,-123.429961,48.614944,1655821092,1655823528,1655823342,1655820673,44.48333333,37.5,6.983333333
22,22,59170056,DA,59170056,2.0028,791,314,310,791,-123.43211,48.62356,1655821097,1655823527,1655823365,1655820699,44.43333333,37.8,6.633333333
23,23,59170063,DA,59170063,0.2873,499,297,287,499,-123.401797,48.589668,1655821310,1655823807,1655823679,1655821619,34.33333333,39.48333333,-5.15
